id,game,score,leaderbord,gamers,comp_perc,rating,min_comp_time,max_comp_time,recommend to play
343,Dead by Daylight 1/2 (PS4),8326,3.21,52589,0.4,3.9,200,700,recommended
344,Dead Island,3120,2.14,31616,6.4,3.7,40,50,recommended
345,Dead Island Riptide,2515,1.95,15215,18.5,3.5,25,30,recommended
346,Dead Nation: Apocalypse Edition,4475,3.32,82974,4.9,3.5,30,35,recommended
347,Dead or Alive 5 Last Round,2529,1.89,17610,14.3,3.9,15,20,recommended
348,DEAD OR ALIVE 6,2283,1.73,7832,18.7,3.8,15,20,recommended
349,DEAD OR ALIVE Xtreme 3 Fortune,2610,1.78,7467,3.1,3.8,40,50,recommended
350,Dead or School,1857,1.38,1114,42.9,3.5,20,25,recommended
351,Dead Rising,3749,2.84,13830,6.3,4.2,40,50,recommended
352,Dead Secret (EU),341,1.08,167,71.9,2.9,1,2,not recommended
353,Dead Synchronicity: Tomorrow Comes Today,1341,1.03,4132,94,2.9,1,2,not recommended
354,Deadpool,2787,2.06,23569,15.3,3.7,15,20,recommended
355,Dear Esther: Landmark Edition,358,1.19,5963,40.6,3.4,2,3,recommended
356,DEATH STRANDING,2367,1.77,99448,15.7,4.4,100,120,recommended
357,Deep Space Rush,1361,1.01,2563,98.2,1.8,0,1,not recommended
358,Deep Space Rush (Asia),1357,1.01,993,98.8,2.3,0,1,not recommended
359,Deep Space Rush (EU),1361,1.01,3393,98.3,1.9,0,1,not recommended
360,Defense Grid 2,1921,1.42,4903,33.2,4,25,30,recommended
361,Deiland (EU),1600,1.27,1135,54.7,3.1,15,20,recommended
362,Deliriant,305,1.02,2060,94.5,1.3,0,1,not recommended
363,Delta Squad,1379,1.04,914,86.3,1.2,1,2,not recommended
364,Delta Squad (EU),1366,1.04,1063,89.1,1.5,0,1,not recommended
365,Demetrios - The BIG Cynical Adventure,1404,1.08,1271,83.6,3,5,6,not recommended
366,Demetrios - The BIG Cynical Adventure (EU),1404,1.08,1952,82.3,3.3,3,4,recommended
367,Deployment,411,1.37,114,45.6,2.5,1,2,not recommended
368,Deponia,1612,1.19,9031,66.3,3.3,5,6,recommended
369,Deponia Doomsday,1573,1.17,1421,61.5,3,8,10,not recommended
370,Déraciné,1502,1.19,2622,62.4,3.5,5,6,recommended
371,Desert Child,2684,2.03,1075,20,2.9,6,8,not recommended
372,Destroy All Humans!,2184,1.69,7139,20,3.5,15,20,recommended
373,Destroy All Humans! (PS2),2613,2,16727,20.7,3.5,12,15,recommended
374,Destroy All Humans! 2,2464,1.91,8668,25.2,3.5,12,15,recommended
375,Detroit: Become Human,2221,1.68,162329,18,4.4,20,25,recommended
376,Deus Ex: Mankind Divided,5827,3.08,68070,1.7,3.9,40,50,recommended
377,Devil May Cry 2 HD,2829,2.1,6878,14.6,2.5,15,20,not recommended
378,Devil May Cry 4 Special Edition,4938,3.74,25831,4.3,4.2,25,30,recommended
379,Devil May Cry HD,3287,2.43,12654,9.4,4.1,20,25,recommended
380,Devious Dungeon,1412,1.05,1802,88.2,3.3,5,6,recommended
381,Devious Dungeon (EU),1398,1.04,2972,90.3,2.9,3,4,not recommended
382,Devious Dungeon 2,1434,1.06,1004,83.1,2.6,8,10,not recommended
383,Devious Dungeon 2 (EU),1436,1.06,1635,82.3,2.4,4,5,not recommended
384,Diablo III: Reaper of Souls - Ultimate Evil Edition,2582,1.69,105161,4.4,4.4,60,80,recommended
385,Digimon Story Cyber Sleuth,2635,2,23244,10.7,4.1,80,100,recommended
386,Digimon Story: Cyber Sleuth - Hacker's Memory,2821,2.21,8697,11,4.1,80,100,recommended
387,DiRT 4,3094,2.32,15480,9.2,4,50,60,recommended
388,DiRT 5 (PS4),2105,1.63,1429,22.5,3.7,15,20,recommended
389,DiRT Rally 2.0,6457,3.21,18912,0.2,3.9,40,50,recommended
390,Disc Jam,587,1.96,50160,9.9,2.8,8,10,not recommended
391,Discovery (EU),400,1.4,601,32.9,1.9,0,1,not recommended
392,Disgaea 5: Alliance of Vengeance,3145,2.33,9349,9.1,4.4,100,120,recommended
393,Dishonored 2,2867,2.12,53926,13.2,4.1,30,35,recommended
394,Dishonored Definitive Edition,5119,2.67,35991,1.1,4.1,25,30,recommended
395,Dishonored: Death of the Outsider,1876,1.45,12545,37,4,12,15,recommended
396,Disney Classic Games: Aladdin and The Lion King,1464,1.16,3991,69.5,3.2,0,1,recommended
397,Disney Infinity 3.0 Edition,2993,2.04,9205,2.3,3.6,15,20,recommended
398,DISTRAINT: Deluxe Edition,1398,1.04,730,91.5,1.8,1,2,not recommended
399,DISTRAINT: Deluxe Edition (EU),1398,1.04,922,91.6,1.8,1,2,not recommended
400,Divinity: Original Sin - Enhanced Edition,4100,3.07,18332,4.1,3.9,100,120,recommended
401,DmC: Devil May Cry: Definitive Edition,3189,2.36,29021,10.4,4,40,50,recommended
402,Doki-Doki Universe,595,1.89,17826,20.2,3,5,6,not recommended
403,Don't Knock Twice,1483,1.14,4218,71.3,2.2,1,2,not recommended
404,Donut Break (EU),1298,1.03,472,89.8,1,1,2,not recommended
405,Donut County,1432,1.12,7058,74.8,3.9,2,3,recommended
406,Donut County (EU),1382,1.08,5397,82,3.5,2,3,recommended
407,Doodle Devil,356,1.13,1099,73.2,2.5,0,1,not recommended
408,Doodle Devil (EU),351,1.11,1173,75.6,2.4,0,1,not recommended
409,Doodle God,360,1.2,1258,60.7,3,1,2,not recommended
410,Doodle God (EU),358,1.19,1524,61.9,2.7,1,2,not recommended
411,Doodle Kingdom,407,1.29,633,42.7,2.2,8,10,not recommended
412,Doodle Kingdom (EU),389,1.23,827,49.5,1.7,6,8,not recommended
413,DOOM (2016),5183,2.74,106385,1.7,4.3,20,25,recommended
414,DOOM 64,531,1.77,7569,21.7,3.7,1,2,recommended
415,DOOM Eternal,2995,2.04,36486,1.7,4.2,20,25,recommended
416,DOOM VFR,626,1.99,12288,7.6,3.6,3,4,recommended
417,Downwell,5965,4.57,27491,2.9,3.1,6,8,recommended
418,Dragon Age: Inquisition,3783,2.1,103990,2,4.2,80,100,recommended
419,Dragon Ball XenoVerse,3250,2.41,48139,5.6,3.6,80,100,recommended
420,Dragon Ball Xenoverse 2,3858,2.26,36278,1.1,4,50,60,recommended
421,Dragon Ball Z: Kakarot,1848,1.37,32122,40.3,4.1,40,50,recommended
422,Dragon Fantasy Book II,1874,1.42,1627,44.7,3.5,15,20,recommended
423,Dragon Quest Builders,2723,2.16,25795,14.9,4.1,35,40,recommended
424,Dragon Quest Builders 2,2119,1.57,10586,27.1,4.3,50,60,recommended
425,Dragon Quest Heroes: The World Tree's Woe and the Blight Below,2766,2.05,22891,14.2,3.8,60,80,recommended
426,Dragon Quest XI: Echoes of an Elusive Age,2215,1.64,33392,23.6,4.5,100,120,recommended
427,Dragon's Crown,3346,2.48,60676,9.2,3.9,60,80,recommended
428,Dragon's Dogma: Dark Arisen,3071,2.33,21709,8.9,4.5,80,100,recommended
429,Dream C Club: HostGirls On Stage,336,1.12,7239,77.3,2.5,0,1,not recommended
430,Dreaming Canvas,320,1.01,338,96.2,1,0,1,not recommended
431,Dreaming Canvas (EU),321,1.02,476,95.2,1,0,1,not recommended
432,DRIVECLUB,12017,2.47,138550,2.6,3.7,40,50,recommended
433,DRIVECLUB BIKES,3973,1.88,16186,9.5,4.1,15,20,recommended
434,Driveclub VR,4849,3.63,11251,3.8,3.9,25,30,recommended
435,Drowning,1291,1.02,4214,95,1.7,0,1,not recommended
436,Drowning (EU),1287,1.02,5073,95.4,1.6,0,1,not recommended
437,Drowning (HK/TW),1282,1.02,270,96.3,5,0,1,recommended
438,DUCATI - 90th Anniversary,1601,1.23,2598,52.9,2.9,15,20,not recommended
439,Duck Souls+,1430,1.06,901,88.1,2.8,0,1,not recommended
440,Duck Souls+ (Asia),1382,1.02,403,94.8,1,0,1,not recommended
441,Duck Souls+ (EU),1439,1.07,1453,86.9,2.6,0,1,not recommended
442,Duke Nukem 3D: 20th Anniversary Edition World Tour,1689,1.28,14323,55.9,3.5,1,2,recommended
443,Dungeon Punks,3095,2.37,15536,13.3,2.9,20,25,not recommended
444,Dungeons 2,2035,1.58,2498,31.1,3.7,25,30,recommended
445,Dust: An Elysian Tail,2790,2.11,60436,15,3.8,12,15,recommended
446,Dying Light,3822,2.16,132269,1.1,4,40,50,recommended
447,Dying: Reborn,1428,1.06,3386,86.1,2.3,1,2,not recommended
448,Dying: Reborn (EU),1396,1.03,2726,91.2,2.2,1,2,not recommended
449,Dying: Reborn (JP),1394,1.03,906,90.7,1.8,1,2,not recommended
450,Dying: Reborn VR,416,1.32,1918,48,2.8,1,2,not recommended
451,Dynasty Warriors 9,2420,1.81,9757,19,3,100,120,not recommended
452,EA SPORTS Rory McIlroy PGA TOUR,2619,2.03,9810,12.2,3.5,25,30,recommended
453,EA SPORTS UFC 2,4182,3.13,29429,3.3,3.6,25,30,recommended
454,Earth Defense Force 4.1: The Shadow of New Despair,6901,5.11,5003,1.8,4,200,700,recommended
455,Eekeemoo - Splinters of Dark Shard (EU),1467,1.09,1912,81.3,1.6,3,4,not recommended
456,eFootball PES 2020 (EU),2697,2.02,8867,12,3.8,25,30,recommended
457,Energy Balance,1531,1.17,1847,70,2,2,3,not recommended
458,Energy Balance (EU),1511,1.16,1691,72.4,2.2,2,3,not recommended
459,Energy Balance (Vita),1443,1.11,676,79.7,1.4,2,3,not recommended
460,Energy Cycle,1281,1.02,8083,96.2,2,0,1,not recommended
461,Energy Cycle (Asia),1274,1.01,1400,97.4,2.1,0,1,not recommended
462,Energy Cycle (EU),1282,1.02,8406,96,1.9,0,1,not recommended
463,Energy Cycle Edge,1325,1.03,1351,93.7,1.3,1,2,not recommended
464,Energy Cycle Edge (Asia),1311,1.02,901,96.3,0.5,1,2,not recommended
465,Energy Cycle Edge (EU),1327,1.03,1246,93.5,1.4,1,2,not recommended
466,Energy Invasion,1389,1.09,3381,80.4,2,3,4,not recommended
467,Energy Invasion (EU),1375,1.08,2720,82.1,1.8,2,3,not recommended
468,Enigmatis 2: The Mists of Ravenwood,1490,1.12,3306,71.5,3.3,6,8,recommended
469,Enigmatis 3: The Shadow of Karkhala,1426,1.07,1537,80.6,3.4,4,5,recommended
470,Enigmatis: The Ghosts of Maple Creek,1413,1.1,5139,74.6,3.2,5,6,recommended
471,Enter the Gungeon,4139,2.87,17157,3.3,4.1,80,100,recommended
472,Epic Word Search Collection,1368,1.05,817,88.5,2.2,1,2,not recommended
473,Epic Word Search Collection (EU),1363,1.04,1052,89.5,3,1,2,not recommended
474,Epic Word Search Collection 2,1351,1.04,493,91.5,2.8,1,2,not recommended
475,Epic Word Search Collection 2 (EU),1342,1.03,645,93,2.5,1,2,not recommended
476,Erica,2026,1.57,7349,32.6,3.2,8,10,recommended
477,Erica (EU),2023,1.57,14702,32.1,3.2,8,10,recommended
478,Ether One,2513,1.99,39779,23.2,2.7,6,8,not recommended
479,Eventide 2: Sorcerer's Mirror,1370,1.05,2000,85.7,3.3,3,4,recommended
480,Eventide 3: Legacy of Legends,1348,1.06,1264,83.8,3.3,3,4,recommended
481,Eventide: Slavic Fable,1426,1.07,3864,81.7,3.3,3,4,recommended
482,Everybody's Golf,4369,3.43,20918,4,4,50,60,recommended
483,Everybody's Gone to the Rapture,1818,1.44,44301,40.8,3.3,8,10,recommended
484,Expand,337,1.18,425,65.6,3.3,1,2,recommended
485,Explosive Jake (EU),1482,1.1,651,81.7,0.5,1,2,not recommended
486,F1 2016,2548,1.91,8877,12.9,4.2,25,30,recommended
487,F1 2018,2513,1.88,6926,14.2,4.3,40,50,recommended
488,F1 2020,2754,2.04,7710,11.3,4.4,30,35,recommended
489,FAHRENHEIT - Indigo Prophecy,2385,1.89,3703,16.4,3.7,15,20,recommended
490,Fairy Fencer F: Advent Dark Force,2838,2.1,4684,15.4,3.8,40,50,recommended
491,FAIRY TAIL,1677,1.33,3109,45.5,3.8,40,50,recommended
492,Fall Guys: Ultimate Knockout,6344,4.86,168542,0.9,3.8,30,35,recommended
493,Fallout 4,3311,1.75,170083,3.5,4.2,60,80,recommended
494,Fallout Shelter,2259,1.79,36513,22.4,3.5,60,80,recommended
495,Far Cry 3 Classic Edition,1760,1.4,39713,43.7,4,20,25,recommended
496,Far Cry 4,2321,1.5,133116,7.5,4.1,25,30,recommended
497,Far Cry 5,3777,1.92,113871,2.4,4,40,50,recommended
498,Far Cry New Dawn,1886,1.4,38080,33.7,3.8,20,25,recommended
499,Far Cry Primal,1845,1.37,90785,40.5,3.8,20,25,recommended
500,Farm Together,2074,1.37,1736,23.5,4.4,80,100,recommended
501,Farming Simulator 15 (2015),1870,1.48,5362,32.5,3.7,25,30,recommended
502,Farming Simulator 19,2400,1.9,12965,20.1,3.3,60,80,recommended
503,Fat Princess Adventures,2930,2.17,11085,16.3,3.6,20,25,recommended
504,Fate/EXTELLA: The Umbral Star,2769,2.05,8642,11.2,3.9,50,60,recommended
505,Fated: The Silent Oath,373,1.18,860,66.2,3.2,1,2,recommended
506,Fe,2030,1.61,5205,31.5,3.5,10,12,recommended
507,Fear Effect Sedna,2288,1.79,1172,27.2,1.8,6,8,not recommended
508,Feather,1315,1.02,854,93.9,2.2,0,1,not recommended
509,Fez,711,2.26,57752,13.2,3.6,6,8,recommended
510,FIFA 14,2751,2.13,45845,9.5,3.8,35,40,recommended
511,FIFA 15,3173,2.46,65472,4.3,3.8,20,25,recommended
512,FIFA 16,3177,2.46,67700,5.1,3.8,35,40,recommended
513,FIFA 17,3370,2.55,69911,4.3,3.7,50,60,recommended
514,FIFA 18,3098,2.35,67123,6.1,3.6,40,50,recommended
515,Fifty Words by POWGI,1376,1.05,907,85.9,2.8,1,2,not recommended
516,Fifty Words by POWGI (EU),1378,1.06,1368,85.2,2.9,0,1,not recommended
517,Final Fantasy IX,3140,2.33,17104,9.8,4.6,60,80,recommended
518,Final Fantasy Type-0 HD,2189,1.66,43090,24.4,3.6,20,25,recommended
519,Final Fantasy VII,2160,1.62,42574,30.6,4.6,40,50,recommended
520,Final Fantasy VII Remake,2334,1.73,98925,18.1,4.6,60,80,recommended
521,Final Fantasy VIII Remastered,1994,1.48,18297,36.8,4.5,30,35,recommended
522,Final Fantasy X HD Remaster,2708,2.1,75858,13.9,4.5,100,120,recommended
523,Final Fantasy X-2 HD Remaster,2853,2.21,23809,14.2,4,80,100,recommended
524,Final Fantasy XII: The Zodiac Age,2804,2.08,39228,14.2,4.4,80,100,recommended
525,Final Fantasy XV,6055,2.33,63532,0.6,4.1,60,80,recommended
526,Final Fantasy XV (EU),5630,2.17,63641,0.8,4,60,80,recommended
527,Final Horizon,2419,1.61,9039,9.2,3.3,6,8,recommended
528,Firewatch,489,1.25,15419,17.8,4,3,4,recommended
529,Firewatch (EU),470,1.21,19372,22.9,3.9,3,4,recommended
530,Flame Over,7313,5.42,10389,1.7,2.5,15,20,not recommended
531,Floor Plan,430,1.37,898,32.4,3.9,0,1,recommended
532,flOw,897,2.72,18751,3.8,3,6,8,not recommended
533,Flower,614,1.95,34050,14.6,3.8,5,6,recommended
534,Football Game,1377,1.02,1551,95,1.2,0,1,not recommended
535,Football Game (EU),1374,1.02,2019,95.8,1.4,0,1,not recommended
536,Forgotton Anne,1921,1.42,1851,38.6,3.9,10,12,recommended
537,forma.8,2909,2.23,15539,17.8,2.7,6,8,not recommended
538,Fortnite (PS4),8637,6.4,23734,0.6,4.1,200,700,recommended
539,Fortnite (PS4) (EU),7545,5.59,23587,0.9,3.3,200,700,recommended
540,Foul Play,3620,2.87,15715,7.6,3.1,15,20,recommended
541,FoxyLand,1367,1.01,3448,96.2,2.3,0,1,not recommended
542,FoxyLand (Asia),1356,1,971,98.9,1.8,0,1,not recommended
543,FoxyLand (EU),1366,1.01,5131,96.4,2.1,0,1,not recommended
544,FoxyLand 2,1395,1.03,1869,90.9,1,1,2,not recommended
545,FoxyLand 2 (EU),1393,1.03,3144,91.2,1.3,1,2,not recommended
546,Fractured Minds,306,1.02,2537,91.8,2.6,0,1,not recommended
547,Fragments of Him (EU),329,1.1,228,75,2.9,2,3,not recommended
548,Freddy Spaghetti (EU) (PS4),1462,1.08,499,82.8,1.8,1,2,not recommended
549,Freddy Spaghetti (PS4),1463,1.08,377,82,2.9,1,2,not recommended
550,Friday the 13th: The Game,5871,4.55,39047,1.6,3.4,200,700,recommended
551,Full Kiss,1287,1.02,554,95.5,0.5,0,1,not recommended
552,Full Throttle Remastered,1370,1.09,8864,78,3.8,2,3,recommended
553,FullBlast,1363,1.01,4709,97.6,2.5,0,1,not recommended
554,FullBlast (Asia),1357,1.01,2114,98.7,2.8,0,1,not recommended
555,FullBlast (EU),1362,1.01,6966,97.8,2.6,0,1,not recommended
556,Funk of Titans,1386,1.09,1531,82.4,2.8,5,6,not recommended
557,Gal*Gunvolt,411,1.37,2732,40.5,3.4,1,2,recommended
558,Game of Thrones: A Telltale Games Series,1520,1.13,93820,66,3.5,10,12,recommended
559,Gauntlet: Slayer Edition,4064,3.19,33239,6.4,3.1,50,60,recommended
560,Gem Smashers,1454,1.13,6191,70.3,2.1,3,4,not recommended
561,Gemini: Heroes Reborn,1372,1.09,3031,79.4,2.5,5,6,not recommended
562,Gems of War,9337,5.28,16198,0.1,3.2,120,150,recommended
563,Ghost Blade HD (JP),1571,1.25,407,50.9,3.8,2,3,recommended
564,Ghost of Tsushima,2704,1.7,124625,1,4.6,40,50,recommended
565,Ghostbusters: The Video Game Remastered,2376,1.89,7608,17.4,3.8,15,20,recommended
566,Giana Sisters: Dream Runners,453,1.44,560,29.5,1.7,0,1,not recommended
567,Glass Masquerade,1409,1.04,1564,90.7,3.6,4,5,recommended
568,Goat Simulator,3836,1.8,73492,3.1,2.9,3,4,not recommended
569,God Eater 2: Rage Burst,3418,2.59,15763,8.7,3.6,80,100,recommended
570,God Eater 3,2138,1.58,7466,24.9,4.2,40,50,recommended
571,God Eater Off Shot: Scene Rindou,298,1.05,351,88.9,2.8,0,1,not recommended
572,God Eater Off Shot: Scene Soma,294,1.03,311,91.6,2.5,0,1,not recommended
573,God Eater: Resurrection,3532,2.65,15370,9.1,3.7,80,100,recommended
574,God of War,1892,1.4,238630,36.1,4.8,40,50,recommended
575,God of War III Remastered,2207,1.63,114443,24.1,4.2,15,20,recommended
576,Golf Zero (EU),1356,1.05,551,87.1,2,0,1,not recommended
577,Gone Home,483,1.53,42424,30.3,3,1,2,not recommended
578,Goodbye Deponia,1435,1.06,1690,84.6,3.2,8,10,recommended
579,Goosebumps: The Game,1487,1.14,8812,72.2,2.5,2,3,not recommended
580,Gorogoa,1549,1.2,1365,55.1,4.2,3,4,recommended
581,Gran Turismo Sport,6353,5.04,57348,1.2,4,200,700,recommended
582,Grand Prix Rock 'N Racing,1495,1.19,630,65.1,2.2,5,6,not recommended
583,Grand Theft Auto III,2478,1.94,20429,21.6,4.2,30,35,recommended
584,Grand Theft Auto San Andreas,2478,1.97,36720,20.4,4.4,40,50,recommended
585,Grand Theft Auto V,5913,3.1,231535,0.4,4.5,200,700,recommended
586,Grand Theft Auto Vice City,2418,1.87,18501,19.3,4.4,35,40,recommended
587,Grass Cutter,1380,1.05,914,88,1.7,0,1,not recommended
588,Grass Cutter (EU),1374,1.04,937,88.7,1,0,1,not recommended
589,Gravel,1796,1.33,3715,43.4,3.5,12,15,recommended
590,Gravity Duck,1311,1.02,2970,96.1,2.6,0,1,not recommended
591,Gravity Duck (Asia),1297,1.01,1016,98.7,3.1,0,1,recommended
592,Gravity Duck (EU),1313,1.02,4112,95.6,2.2,0,1,not recommended
593,Gravity Rush 2,2848,1.86,37007,12.1,3.9,40,50,recommended
594,Gravity Rush Remastered,2906,1.59,47625,26,4.1,15,20,recommended
595,Grim Fandango,1923,1.53,59305,35.6,3.7,10,12,recommended
596,Grim Legends 2: Song of the Dark Swan,1304,1.04,1625,88.3,3.2,4,5,recommended
597,Grim Legends 3: The Dark City,1351,1.07,1330,77.7,3.2,3,4,recommended
598,Grim Legends: The Forsaken Bride,1415,1.12,3031,70,3.4,6,8,recommended
599,GRIS,1685,1.31,5190,52.9,4,3,4,recommended
600,Grizzland,1381,1.02,497,94,1,0,1,not recommended
601,Grow Home,641,2.03,31592,14.4,3.2,8,10,recommended
602,Guacamelee! 2,2516,1.47,9772,12.7,4.4,15,20,recommended
603,Guacamelee! Super Turbo Championship Edition,3185,2.12,52774,4.1,3.9,15,20,recommended
604,Guitar Hero Live,5159,3.86,24575,1.8,3.4,200,700,recommended
605,Gun Crazy,1339,1.01,1845,94.1,2.1,0,1,not recommended
606,Gun Crazy (EU),1345,1.02,2126,93.2,1.8,0,1,not recommended
607,GUNS UP!,1649,3.33,12302,1.6,2.7,20,25,not recommended
608,"Guns, Gore & Cannoli",532,1.69,5343,15,3.6,4,5,recommended
609,"Guns, Gore & Cannoli 2",1466,1.15,3842,67.7,3.9,4,5,recommended
610,Habroxia,1408,1.07,989,86.1,2.2,1,2,not recommended
611,Habroxia (Asia),1356,1.03,665,94.3,0.5,1,2,not recommended
612,Habroxia (EU),1388,1.05,1314,88.7,2.7,2,3,not recommended
613,Hajwala (EU),449,1.36,800,9.4,0.9,0,1,not recommended
614,Halloween Candy Break,1306,1.04,418,89.5,2,0,1,not recommended
615,Happy Dungeons,1098,3.49,8686,3.3,2.8,100,120,not recommended
616,Hardware: Rivals,4355,3.26,41631,5.4,2.6,40,50,not recommended
617,Hatoful Boyfriend,374,1.31,10236,51,2.8,8,10,not recommended
618,Hatoful Boyfriend: Holiday Star,332,1.05,1613,86.9,2.8,0,1,not recommended
619,Hatsune Miku: Project DIVA Future Tone,1053,2.06,13814,4.8,3.7,0,1,recommended
620,Hatsune Miku: Project DIVA Future Tone (Asia),821,1.61,7093,13.1,4.4,0,1,recommended
621,Hatsune Miku: Project DIVA Future Tone DX,1581,1.26,1742,57.7,4.7,2,3,recommended
622,Hatsune Miku: Project DIVA X,3377,2.5,7740,7.9,4,80,100,recommended
623,Headlander,1852,1.44,2919,37.9,3.8,6,8,recommended
624,Heavy Rain,2355,1.74,68075,19.7,4.1,25,30,recommended
625,Hellblade: Senua's Sacrifice,1655,1.31,19499,39.9,4.2,8,10,recommended
626,Hellblade: Senua's Sacrifice (EU),1581,1.25,27987,45.6,4.2,8,10,recommended
627,HELLDIVERS,5716,3.7,81257,1.9,3.5,50,60,recommended
628,Her Majesty's SPIFFING,1296,1.03,4058,93.3,3.3,1,2,recommended
629,Here They Lie,622,2.18,20130,9.3,2.5,5,6,not recommended
630,Hero Express,1476,1.12,291,77,3.5,6,8,recommended
631,Heroes Trials,1349,1.02,2008,94.3,2.2,0,1,not recommended
632,Heroes Trials (Asia),1337,1.01,1104,96.6,2.5,0,1,not recommended
633,Heroes Trials (EU),1352,1.02,3077,93.2,2.3,0,1,not recommended
634,Hex Tunnel (EU),1419,1.13,509,75.4,1.8,1,2,not recommended
635,Hex Tunnel Touch,1312,1.04,989,90.7,1.1,0,1,not recommended
636,Hex Tunnel Touch (EU),1339,1.06,1581,86.7,1,0,1,not recommended
637,Hidden Agenda,2746,2.06,19973,10.9,3.4,6,8,recommended
638,Hidden Through Time,1476,1.13,1566,70.3,3.1,6,8,recommended
639,Himno,1317,1.02,1861,94.7,2,0,1,not recommended
640,Himno (Asia),1302,1.01,879,97.6,2,0,1,not recommended
641,Himno (EU),1324,1.03,2496,93.2,2.1,0,1,not recommended
642,HiQ Ace,232,1.19,5381,60.3,2.3,0,1,not recommended
643,HiQ Ace Unlimited,211,1.08,908,75.6,2,1,2,not recommended
644,HiQ Ace Unlimited (EU),208,1.07,1218,78.1,2.2,0,1,not recommended
645,HITMAN,4068,2.47,112800,3.9,4.1,4,5,recommended
646,HITMAN 2,7547,2.35,36757,2.3,4.3,6,8,recommended
647,Hitman GO: Definitive Edition,1421,1.13,28482,74.5,3.3,4,5,recommended
648,Hitman: Absolution HD,1976,1.5,3314,33,4.2,15,20,recommended
649,Hitman: Blood Money HD,2293,1.72,2771,28.9,4.3,15,20,recommended
650,Hoggy2,1309,1.01,1971,96.1,1.6,0,1,not recommended
651,Hoggy2 (Asia),1299,1.01,907,98.1,1.6,0,1,not recommended
652,Hoggy2 (EU),1312,1.02,2616,95.5,1.8,0,1,not recommended
653,Hohokum,534,1.87,5589,14,3.1,6,8,recommended
654,Hohokum (EU),592,2.08,3255,10.2,3,5,6,not recommended
655,Home,444,1.41,4799,34.7,3.1,1,2,recommended
656,Horizon Chase Turbo,3824,2.9,46773,8,3.4,20,25,recommended
657,Horizon Zero Dawn,2627,1.47,245220,6.3,4.6,40,50,recommended
658,Horse Racing 2016,346,1.21,360,59.4,0.9,2,3,not recommended
659,Horse Racing 2016 (EU),333,1.17,395,64.3,1.7,1,2,not recommended
660,Hotel Transylvania 3: Monsters Overboard,1990,1.49,2836,38.6,2.2,6,8,not recommended
661,Hotline Miami,2781,2.06,64757,14.7,4.1,15,20,recommended
662,Hotline Miami 2: Wrong Number,3416,2.65,21697,7.6,4.1,20,25,recommended
663,House Flipper (EU),2141,1.66,1938,31.4,3.7,6,8,recommended
664,Hue,456,1.6,24706,20.9,3.4,6,8,recommended
665,Human: Fall Flat,3848,2.31,17902,2.5,3.8,15,20,recommended
666,I Am Setsuna,2305,1.79,11033,21.5,4.1,40,50,recommended
667,I Am The Hero,1512,1.12,1028,76,2.6,1,2,not recommended
668,I Am The Hero (EU),1485,1.1,1416,79.4,2.5,2,3,not recommended
669,"I, Zombie",638,2.03,1515,16.8,2.8,2,3,not recommended
670,ICEY,1457,1.16,2485,71.1,3.1,4,5,recommended
671,Immortals Fenyx Rising (PS4),2856,1.85,5363,0,4.2,35,40,recommended
672,Indivisible,2670,1.75,4768,0,3.6,20,25,recommended
673,inFAMOUS First Light,2084,1.54,144573,34.8,3.8,8,10,recommended
674,inFAMOUS Second Son,1783,1.35,211708,41.1,4.1,15,20,recommended
675,Inferno 2,1380,1.02,710,94.1,3.1,0,1,recommended
676,Inferno 2 (EU),1387,1.03,759,92.5,2.5,1,2,not recommended
677,Injustice 2,4410,2.91,63317,1.9,4.1,60,80,recommended
678,InkSplosion,1436,1.06,5430,86,2.2,0,1,not recommended
679,InkSplosion (Asia),1382,1.02,2283,94.5,1.8,0,1,not recommended
680,InkSplosion (EU),1458,1.08,8022,82.7,2,0,1,not recommended
681,Inner Kung Fu Game,321,1.02,483,95.7,0.8,0,1,not recommended
682,INSIDE,387,1.36,22471,47.3,4.3,3,4,recommended
683,IN-VERT,1325,1.03,1003,91.5,1.8,0,1,not recommended
684,Iro Hero,1356,1.02,1214,93.6,2.1,0,1,not recommended
685,Iro Hero (Asia),1342,1,707,98.3,1.8,0,1,not recommended
686,Iro Hero (EU),1357,1.02,1529,93.7,1.9,0,1,not recommended
687,Iro Hero (JP),1350,1.01,851,96.8,2.8,0,1,not recommended
688,Iron Snout,1372,1.02,2780,95.5,1.9,0,1,not recommended
689,Iron Snout (Asia),1359,1.01,1181,98.2,1.6,0,1,not recommended
690,Iron Snout (EU),1371,1.02,4034,95.7,2,0,1,not recommended
691,Island Saver,821,1.61,4235,5.7,3.2,6,8,recommended
692,Iwaihime -Matsuri-,1313,1.02,650,96,2.2,0,1,not recommended
693,Jack N' Jill DX,1302,1.01,6530,97.9,2.2,0,1,not recommended
694,Jack N' Jill DX (Asia),1294,1,2377,99.2,2.6,0,1,not recommended
695,Jack N' Jill DX (EU),1299,1.01,10055,98.5,2.4,0,1,not recommended
696,Jak 3,1677,1.24,10915,45,3.7,1,2,recommended
697,Jak and Daxter: The Precursor Legacy,1850,1.37,27704,45.5,4,10,12,recommended
698,Jak II,1652,1.22,17288,57.3,3.5,0,1,recommended
699,Jak X: Combat Racing,2143,1.66,7341,29.6,3.7,10,12,recommended
700,Jazzpunk,1385,1.06,3852,85.8,2.7,1,2,not recommended
